aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
82.26940639269407,0.2,16.0,77.0,11.0,4.5,51.0,132.0,1017.0,5.0,20.0,10.984000000000002,1.8
82.26940639269407,0.2,16.0,73.0,4.6,12.6,28.0,94.0,1014.5,5.0,22.0,10.984000000000002,2.5
82.26940639269407,0.2,25.0,78.0,2.0,12.0,27.0,39.0,1004.0,6.0,28.5,10.984000000000002,4.1
82.26940639269407,0.2,24.5,81.0,9.6,5.7,23.0,50.0,1006.0,4.1,28.5,10.984000000000002,2.8
30.0,2.0,24.0,68.0,5.5,11.4,28.0,42.0,1004.0,2.0,31.5,10.984000000000002,3.3
59.0,0.2,24.0,85.5,5.1,6.0,16.0,27.0,1005.0,4.0,26.5,10.984000000000002,3.3
18.0,0.3,25.0,76.5,5.0,6.215806451612903,19.0,35.0,1007.0,5.0,29.0,10.984000000000002,3.0
14.0,3.0,19.5,80.5,5.5,6.215806451612903,8.0,25.0,1010.5,6.0,23.0,10.984000000000002,3.6
87.0,3.0,18.0,93.0,8.7,6.0,25.0,69.0,1018.5,1.0,19.0,10.984000000000002,2.8
56.0,6.0,9.0,71.0,6.9,2.1,13.0,38.0,1021.5,2.0,14.0,10.984000000000002,4.8
82.26940639269407,0.3,19.0,78.0,9.6,3.0,43.0,78.0,1014.5,4.0,22.0,10.984000000000002,4.3
186.0,0.3,12.5,72.0,17.0,2.0,61.0,153.0,1015.5,7.1,18.0,10.984000000000002,1.2
82.26940639269407,4.0,18.76287262872629,72.48915989159892,7.8,7.0,23.0,63.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.4,19.0,93.0,13.0,4.0,59.0,143.0,1015.5,6.0,20.0,10.984000000000002,1.2
82.26940639269407,3.0,20.5,83.0,3.7,9.0,26.0,72.0,1011.0,5.0,23.0,10.984000000000002,2.8
82.26940639269407,0.2,25.0,79.0,1.9,8.2,29.0,42.0,1004.0,6.0,28.5,10.984000000000002,4.1
82.26940639269407,0.2,24.5,74.0,6.9,7.0,27.0,34.0,1004.0,1.0,29.0,10.984000000000002,3.6
